Node,Max Depth (ft)
BBCA12,18.193136332997376
BBCA12_2,18.04584174117792
BBCB10,19.627246047641155
BBCB10_2,19.470651134196704
BBCC10,18.722941098285194
BBCC10_2,18.642891936955394
BC_EffFG1,21.748963678246913
BC_EffSF2,21.000075323448545
BEA-10,19.52
BEA-11,19.1
BEA-13,16.93
BEA-14,15.54
BEA-16,14.6
BEA-17,12.78
BEA-19,12.32
BEA-2,20.356634223184702
BEA-21,12.9
BEA-23,11.8
BEA-24,14.461001085007302
BEA-25,14.2
BEA-26,13.8
BEA-3,17.982623833732877
BEA-7,19.262749764073845
BEA-8,19.388673503227526
BEA-9,19.58
BEA-9MD-1,16.301346145648516
BEI-1,4.782530563328993
BEI-10,3.093048697737321
BEI-10A,2.9642931305820057
BEI-13,2.5027900026873944
BEI-14,2.380627194971357
BEI-15,2.2372901646299015
BEI-16,2.0510220739184515
BEI-17,1.4528131055687057
BEI-18,1.3203145009146815
BEI-19,1.1786271941962547
BEI-2,4.574792978656407
BEI-20,1.0676098032559285
BEI-21,0.6511596530205852
BEI-22,0.6162716791036661
BEI-23,0.619150672890286
BEI-24,0.6203121045658276
BEI-25,0.613639616885971
BEI-26,0.2561365731304328
BEI-27,0.1893107189401583
BEI-28,0.1248469420934509
BEI-29,0.08471212584377122
BEI-3,4.379102954129986
BEI-3A,4.335317829888604
BEI-4,4.064480802091068
BEI-4A,4.088961133610752
BEI-5,3.818883444956808
BEI-5B,3.7479990924367534
BEI-5C,3.963778948023136
BEI-5E,3.9143278721628034
BEI-6,3.5829548467975183
BEI-6A,3.797431992080675
BEI-7,3.69970230761847
BEI-8,3.362416042038859
BEI-9,3.199775464205022
BEI-BER-2,2.7904364647839035
BER-1,0.7693882662357165
BER-10,0.4075760137294753
BER-11,0.4021812156015977
BER-12,0.406624027381554
BER-13,0.23096164489911153
BER-14,0.13600062864527715
BER-15,0.1386414571018783
BER-16,0.2362368109000646
BER-16A,0.0
BER-16B,0.0
BER-18,0.48367018652965205
BER-2,0.7786429273048423
BER-20,0.4134032207202303
BER-21,0.20326213913895383
BER-22,0.48539097380921314
BER-23,0.4345480626353875
BER-24,0.43552069331989296
BER-25,2.7709353165936035
BER-26,2.421584176256683
BER-27,2.1705651153024474
BER-28,1.9490795753653285
BER-29,1.7295294003495805
BER-3,0.7776317005912285
BER-30,1.522971367439387
BER-32,1.3501757907900553
BER-34,1.2717249273019324
BER-35,1.1719393612099545
BER-36,1.16529060641933
BER-37,1.1675280117149027
BER-38,1.1583457880972898
BER-39,1.1505791222814858
BER-4_11R-1,0.857539669448314
BER-40,1.1692528090371916
BER-41,1.1629906415886362
BER-42,0.9192286746014109
BER-43,1.0264366870599102
BER-44,1.0286199158439795
BER-45,1.0636322587414744
BER-46,0.9896573719864392
BER-47,1.012517217368405
BER-5,0.6415742433582741
BER-6,0.4409711418539891
BER-7,0.4135081116654868
BER-8,0.41297037907797707
BER-9,0.41011332421777147
BLAT-1,15.250242567886167
BLAT-10,19.19
BLAT-11,17.8
BLAT-12,17.829962148726572
BLAT-13,13.59639763347202
BLAT-2,23.92
BLAT-3,18.26679228599305
BLAT-4,18.790112936357218
BLAT-5,15.987841017355542
BLAT-6,15.52032776185177
BLAT-7,16.509438004710812
BLAT-8,16.65082896384816
BLAT-9,16.269089160975774
BLAT-RED-CON,15.505866358553146
BLT137019B,2.631443700346625
BluehillDSChamber,21.06271605582915
BluehillPS_Div,47.28284685159912
BonHeurDischarge1,0.5902073422884381
BonHeurDischarge2,0.0
BonHeurDischarge3,0.0
BonHeurDischarge4,0.0
BonHeurOutlet1,1.023444801978361
BonHeurOutlet2,1.213701441617066
BonHeurOutlet3,1.2937749188226673
BOU-11,23.5257494477278
BOU-2,28.0
BOU-4,30.5
BOU-5,26.392457647852265
BOU-6,29.1
BOU-7,28.52
BOU-8,26.29
BOU-9,25.65
BRIT-1,12.196086282322158
BRIT-2,15.385860276072993
BRIT-4,10.16594515970757
BypassGateDS,12.889927976809316
CCDWMH11,2.843977428060675
CCRegulator_DS,22.047334683797715
Chamber1,29.725808201327574
Chamber13,6.916797688494753
Chamber14,4.623998863144237
Chamber15,36.750942096355665
Chamber16,37.02273113055247
Chamber17,22.7701
Chamber2,29.824776012661825
Chamber23,30.972152966984964
Chamber3,27.729743744056016
Chamber33,43.96372165211518
Chamber4,27.644858303771976
Chamber44,20.34214452178736
Chamber45,18.910492836324103
Chamber46,15.361964436061795
Chamber53,20.55783571945366
ChapatonIntermediate1,23.437319570928125
ChapatonSanitaryDischarge1,89.0
ChapatonSanitaryDischarge2,74.93363837287231
ChapatonSanitaryDischarge2A,40.17328542110303
ChapatonSanitaryDischarge3,35.769378632596386
ChapatonSanitaryDischarge4,8.470103266196933
ChapatonStormDischarge1,0.0
ChapatonStormDischarge2,36.5
ChapatonStormDischarge3,36.5
CM1,2.8296367647376957
CM2,3.0053436207539894
CM3,15.4577380546872
CM4,13.56500416945613
CM5,26.055615881573285
CON_Discharge10u,115.27472640576491
CON_Discharge11u,163.02388105560465
CON_Discharge12u,102.60954039460137
CON_Discharge1u,21.44504122210942
CON_Discharge2u,60.03147523459472
CON_Discharge3u,21.44504122210942
