Node,Full_Depth,Max_depth(SWMM),basement flooding
BEI-16,17.31,2.05,0
BEI-17,18.71,1.45,0
BEI-18,18.57,1.32,0
BEI-19,21.42,1.17,0
BEI-2,15.7,12.18,1
BEI-20,22.3,1.06,0
BEI-21,20.3,0.65,0
BEI-22,19.51,0.62,0
BEI-23,19.74,0.62,0
BEI-24,23.5,0.62,0
BEI-25,23.19,0.61,0
BEI-26,19.35,0.26,0
BEI-27,19.06,0.19,0
BEI-28,19.73,0.12,0
BEI-29,19.4,0.08,0
BEI-3,17.7,4.51,0
BEI-3A,18.0,8.03,0
BEI-4,25.5,4.07,0
BEI-4A,26.4,5.71,0
BEI-5,18.3,3.83,0
BEI-5B,23.3,3.74,0
BEI-5C,18.0,6.18,0
BEI-5E,23.6,6.47,0
BEI-6,16.82,3.58,0
BEI-6A,16.5,6.05,0
BEI-7,13.5,3.68,0
BEI-8,16.59,3.36,0
BEI-9,16.47,3.2,0
BEI-BER-2,21.07,2.79,0
BER-1,28.99,0.72,0
BER-10,26.61,0.41,0
BER-11,25.58,0.4,0
BER-12,26.17,0.41,0
BER-13,23.88,0.23,0
BER-14,24.44,0.14,0
BER-15,22.94,0.14,0
BER-16,17.46,0.24,0
BER-16A,22.94,0.0,0
BER-16B,26.63,0.0,0
BER-18,17.89,0.48,0
BER-2,27.07,0.73,0
BER-20,17.71,0.41,0
BER-21,15.71,0.2,0
BER-22,14.82,0.49,0
BER-23,13.64,0.43,0
BER-24,12.04,0.44,0
BER-25,18.5,2.78,0
BER-26,16.3,2.42,0
BER-27,16.59,2.17,0
BER-28,17.21,1.95,0
BER-29,17.38,1.73,0
BER-3,26.46,0.72,0
BER-30,18.0,1.52,0
BER-32,17.71,1.35,0
BER-34,17.69,1.27,0
BER-35,19.3,1.17,0
BER-36,20.64,1.16,0
BER-37,21.81,1.17,0
BER-38,21.68,1.16,0
BER-39,21.43,1.15,0
BER-4_11R-1,25.15,0.8,0
BER-40,20.93,1.17,0
BER-41,21.79,1.16,0
BER-42,22.23,0.92,0
BER-43,22.92,1.03,0
BER-44,23.68,1.03,0
BER-45,24.27,1.06,0
BER-46,24.73,0.99,0
BER-47,24.32,1.01,0
BER-5,23.92,0.64,0
BER-6,23.71,0.44,0
BER-7,23.51,0.41,0
BER-8,25.11,0.41,0
BER-9,26.26,0.41,0
BLAT-1,24.8,14.89,0
BLAT-10,19.19,19.19,1
BLAT-11,17.8,17.8,1
BLAT-12,18.4,13.86,1
BLAT-13,19.07,13.06,1
BLAT-2,23.92,23.92,1
BLAT-3,23.12,18.24,1
BLAT-4,22.0,18.76,1
BLAT-5,20.23,15.99,1
BLAT-6,19.93,15.68,1
BLAT-7,19.96,16.12,1
BLAT-8,20.13,16.04,1
BLAT-9,19.05,15.45,1
BLAT-RED-CON,20.0,15.66,1
BLT137019B,66.32,2.63,0
BluehillDSChamber,33.23,21.09,0
BluehillPS_Div,43.84,47.28,1
BonHeurDischarge1,21.0,0.59,0
BonHeurDischarge2,21.0,0.0,0
BonHeurDischarge3,21.0,0.0,0
BonHeurDischarge4,21.0,0.0,0
BonHeurOutlet1,26.0,1.02,0
BonHeurOutlet2,26.0,1.21,0
BonHeurOutlet3,19.0,1.29,0
BOU-11,26.15,22.92,1
BOU-2,28.0,28.0,1
BOU-4,30.5,30.5,1
BOU-5,29.87,26.36,1
BOU-6,29.1,29.1,1
BOU-7,28.52,28.52,1
BOU-8,26.29,26.29,1
BOU-9,25.65,25.65,1
BRIT-1,16.13,12.38,1
BRIT-2,15.58,15.58,1
BRIT-4,14.5,9.57,1
BypassGateDS,20.5,12.89,1
CCDWMH11,13.8,2.84,0
CCRegulator_DS,30.9,22.07,0
Chamber1,28.75,29.72,1
Chamber13,17.266,7.05,0
Chamber14,17.708,4.76,0
Chamber15,53.43,45.78,1
Chamber16,52.67,46.67,1
Chamber17,22.77,22.77,1
Chamber2,29.52,29.82,1
Chamber23,52.95,31.07,0
Chamber3,21.29,27.71,1
Chamber33,43.37,44.15,1
Chamber4,18.91,27.63,1
Chamber44,10.89,20.34,1
Chamber45,8.4,18.91,1
Chamber46,12.36,15.37,1
Chamber53,30.78,21.13,0
ChapatonIntermediate1,19.75,25.94,1
ChapatonSanitaryDischarge1,59.0,89.0,1
ChapatonSanitaryDischarge2,58.0,81.87,1
ChapatonSanitaryDischarge2A,19.75,49.75,1
ChapatonSanitaryDischarge3,28.5,37.97,1
ChapatonSanitaryDischarge4,19.75,8.46,0
ChapatonStormDischarge1,6.5,0.0,1
ChapatonStormDischarge2,6.5,36.5,1
ChapatonStormDischarge3,6.5,36.5,1
CM1,23.07,2.83,0
CM2,21.42,3.01,0
CM3,34.18,16.69,0
CM4,29.77,14.22,0
CM5,36.23,26.14,0
CON_Discharge10u,60.0,113.82,1
CON_Discharge11u,60.0,160.56,1
CON_Discharge12u,60.0,102.3,1
CON_Discharge1u,60.0,21.52,0
CON_Discharge2u,60.0,61.07,1
CON_Discharge3u,60.0,21.52,0
CON_Discharge4u,60.0,21.52,0
CON_Discharge5u,60.0,60.48,1
CON_Discharge6u,60.0,0.0,0
CON_Discharge7u,60.0,0.0,0
CON_Discharge8u,60.0,0.0,0
CON_Discharge9u,60.0,155.41,1
CON_DischargeD,28.0,20.26,1
CON_DischargeD2,30.8,21.89,0
CON_SanDisChamber,59.0,43.41,0
CUSH-1,16.58,16.58,1
CUSH-3,15.79,8.56,1
DAV-1,28.71,24.55,1
DAV-3,25.63,20.25,1
DAV-4,18.53,18.53,1
DAV-6,17.69,10.3,1
DN1000,10.0,1.13,0
DN100113,50.0,0.24,0
DN100120,50.0,0.46,0
DN100122,50.0,0.31,0
DN100125,50.0,0.18,0
DN100140,50.0,0.0,0
DN100141,50.0,0.41,0
DN100145,50.0,0.23,0
DN100150,50.0,0.49,0
DN1006,15.55,0.06,0
DN1007,16.08,0.07,0
DN1008,17.93,0.07,0
DN100805,50.0,0.05,0
DN100806,50.0,0.48,0
DN100843,50.0,0.82,0
DN100844,50.0,0.63,0
DN100844B,50.0,0.56,0
DN100845,50.0,0.67,0
DN100846,50.0,0.7,0
DN100853,50.0,0.7,0
DN100854,50.0,0.36,0
DN100854B,50.0,0.32,0
DN100855,50.0,0.19,0
DN100856,50.0,0.64,0
DN1009,23.95,0.12,0
DN100906,50.0,1.27,0
DN100910,50.0,1.38,0
DN100915,50.0,1.03,0
DN100918,50.0,0.67,0
DN100920,50.0,0.39,0
DN100925,50.0,0.12,0
DN1009294,50.0,0.17,0
DN1009300,50.0,0.2,0
DN1009301,50.0,0.34,0
DN100935,50.0,0.29,0
DN1009350,50.0,0.17,0
DN1009351,50.0,0.19,0
DN1009352,50.0,0.42,0
DN1009353,50.0,0.22,0
DN1009354,50.0,0.29,0
DN1009355,50.0,0.25,0
DN1009356,50.0,0.29,0
DN1009357,50.0,0.26,0
DN1009359,50.0,0.45,0
DN101,27.03,27.03,1
DN1010,24.0,0.16,0
DN101151,50.0,0.4,0
DN101152,50.0,0.36,0
DN101153,50.0,0.46,0
DN101222,50.0,0.32,0
DN101223,50.0,0.37,0
DN101251,50.0,0.42,0
DN101252,50.0,0.49,0
DN101311B,50.0,0.42,0
DN101314B,50.0,0.39,0
DN1014,9.34,0.02,0
DN101485B,50.0,0.62,0
DN101489,50.0,0.23,0
DN1015,23.71,0.07,0
DN101501,50.0,0.42,0
DN101502,50.0,0.36,0
DN101503,50.0,0.42,0
DN101504,50.0,0.15,0
DN101510,50.0,0.2,0
DN101515,50.0,0.58,0
DN101516,50.0,0.93,0
DN101530,50.0,0.26,0
DN101535,50.0,0.24,0
DN101536,50.0,0.98,0
DN101555,50.0,0.26,0
DN101600,50.0,1.76,0
DN101601,50.0,1.09,0
DN101602,50.0,0.69,0
DN101603,50.0,0.58,0
DN101604,50.0,0.75,0
DN101606,50.0,0.63,0
DN101700,50.0,0.47,0
DN101701,50.0,2.11,0
DN101702,50.0,1.76,0
DN101703,50.0,2.22,0
DN101704,50.0,0.54,0
DN101705,50.0,0.75,0
DN101706,50.0,2.12,0
DN101710,50.0,0.32,0
DN101716,50.0,1.89,0
DN101720,50.0,2.03,0
DN101725,50.0,2.07,0
DN101726,50.0,0.63,0
DN101732,50.0,1.07,0
DN101735,50.0,1.55,0
DN101736,50.0,1.04,0
DN101737,50.0,1.94,0
DN101738,50.0,1.93,0
DN101748,50.0,2.91,0
DN101750,50.0,3.38,0
DN101751,50.0,0.13,0
DN101756,50.0,1.75,0
DN101757,50.0,1.37,0
DN101759,50.0,1.66,0
DN101760,50.0,2.57,0
DN101761,50.0,1.8,0
DN101763,50.0,0.48,0
DN101764,50.0,1.35,0
DN101765,50.0,0.93,0
DN101766,50.0,3.55,0
DN101776,50.0,1.01,0
DN101777,50.0,1.6,0
DN101778,50.0,1.51,0
DN101787,50.0,0.79,0
DN101788,50.0,1.68,0
DN101789,50.0,2.07,0
DN101794,50.0,1.33,0
DN101796,50.0,1.72,0
DN101798,50.0,1.43,0
DN101798B,50.0,1.71,0
DN1019,7.15,0.02,1
DN102,28.0,25.67,1
DN1020,22.82,0.06,0
DN1024,8.64,0.02,0
DN1025,20.8,0.05,0
DN10252,10.95,0.0,0
DN1026,12.56,0.05,0
DN102604,50.0,0.15,0
DN102606,50.0,0.36,0
DN102700,50.0,0.4,0
DN102704,50.0,1.74,0
DN102705,50.0,0.33,0
DN102706,50.0,1.28,0
DN102710,50.0,0.47,0
DN102716,50.0,2.92,0
DN102720,50.0,2.39,0
DN102725,50.0,2.85,0
DN102726,50.0,0.38,0
DN102732,50.0,2.81,0
DN102735,50.0,2.26,0
DN102736,50.0,1.71,0
DN102737,50.0,1.71,0
DN102738,50.0,1.66,0
DN102748,50.0,0.98,0
DN102750,50.0,1.8,0
DN102751,50.0,1.87,0
DN102756,50.0,1.6,0
DN102757,50.0,1.79,0
DN102759,50.0,1.87,0
DN102760,50.0,2.86,0
DN102761,50.0,0.66,0
DN102763,50.0,2.02,0
DN102764,50.0,2.73,0
DN102765,50.0,1.78,0
DN102776,50.0,1.9,0
DN102777,50.0,1.41,0
DN102778,50.0,1.43,0
DN102786,50.0,2.37,0
