Node ID,Max Depth (ft)
DN175011,0.29
DN175021,0.38
DN175030,0.2
DN175031,0.23
DN175040,0.17
DN175041,0.22
DN175051,0.39
DN175061,0.21
DN175071,0.35
DN175081,0.41
DN175250,0.47
DN175251,0.41
DN175311,0.39
DN175320,0.59
DN175321,0.33
DN175361,0.52
DN175371,0.52
DN175450,0.28
DN175451,0.38
DN175460,0.6
DN175461,0.13
DN175470,0.32
DN175471,0.42
DN175501,0.41
DN175511,0.41
DN176010,0.42
DN176021,0.27
DN176030,0.17
DN176031,0.23
DN181500,0.37
DN181501,0.33
DN181511,0.32
DN181521,0.26
DN181531,0.36
DN181550,0.2
DN181551,0.31
DN184011,0.49
DN184013,0.46
DN184013B,0.24
DN184021,0.36
DN184031,0.33
DN184041,0.26
DN184043,0.53
DN184043B,0.2
DN186311,0.4
DN186312,0.54
DN186320,0.09
DN186321,0.56
DN186511,0.5
DN186513,0.72
DN186513B,0.29
DN186520,0.45
DN186521,0.32
DN186523,0.43
DN186523B,0.15
DN186530,0.3
DN186531,0.33
DN186533,0.57
DN186533B,0.31
DN196810,0.22
DN196811,1.21
DN196823,1.52
DN196824,0.29
DN196824B,0.08
DN196826,0.39
DN196848,0.41
DN196849,2.59
DN196849B,0.28
DN196850,0.27
DN196851,0.46
DN197823,0.65
DN197824,1.78
DN197824B,0.28
DN197825,0.05
DN197826,0.64
DN2000,1.2
DN2001,0.99
DN20015,11.96
DN2002,0.97
DN2003,1.0
DN20030,4.31
DN20035,9.77
DN2004,1.89
DN20040,9.24
DN2005,1.94
DN20050,13.16
DN2005B,1.92
DN2006,1.63
DN20060a,14.91
DN20065,15.49
DN2007,1.4
DN20070,10.98
DN20070a,13.22
DN2008,2.59
DN20080,11.08
DN20080a,16.4
DN2009,2.41
DN20090,10.34
DN20090a,17.22
DN20091,15.94
DN20092,27.9
DN20094,17.51
DN20095,18.85
DN2009B,2.35
DN2010,2.54
DN2011,2.34
DN2012,2.1
DN20120,18.77
DN20124,17.27
DN20125,17.58
DN2013,2.77
DN20130,17.49
DN2014,2.94
DN20140,17.94
DN20145,17.86
DN20148,16.91
DN2015,2.59
DN20150,16.8
DN2015B,1.58
DN2016,2.49
DN20165,18.21
DN20167,18.82
DN2017,2.46
DN20170,19.08
DN2017B,2.44
DN2018,2.37
DN20180,21.22
DN20185,19.2
DN2019,2.27
DN20190,12.99
DN20195,20.52
DN2020,2.3
DN20200,14.24
DN2021,2.3
DN20210,18.7
DN20215,18.55
DN20217,13.04
DN2021A,2.24
DN2021B,2.24
DN2022,2.2
DN20220,18.38
DN20221,18.45
DN20222,18.07
DN20223,14.94
DN20225,17.78
DN2023,2.26
DN2024,2.26
DN20240,17.84
DN20245,17.81
DN2025,2.34
DN20250,20.94
DN20255,17.87
DN2026,2.61
DN20260,15.05
DN2027,2.9
DN20275,19.01
DN20276,18.86
DN20277,17.96
DN2028,3.27
DN20283,11.92
DN20285,13.39
DN2029,3.68
DN2030,4.15
DN20305,7.29
DN2031,4.63
DN20310,6.56
DN203102,21.88
DN203103,14.39
DN203104,14.89
DN20312,14.79
DN20313,15.54
DN203130,16.23
DN203131,15.95
DN203132,18.75
DN203133,16.28
DN203134,16.49
DN203135,17.08
DN203136,18.02
DN203137,18.66
DN203138,19.67
DN2032,5.22
DN20320,2.23
DN203201,5.11
DN20321,1.77
DN20323,23.7
DN20324,16.86
DN20325,17.34
DN20326,23.53
DN20327,19.99
DN20328,18.98
DN20329,24.0
DN2033,6.26
DN20330,25.06
DN203301,4.49
DN20331,14.36
DN20332,22.11
DN20333,27.08
DN20334,30.74
DN2034,6.18
DN20340,27.17
DN2035,6.96
DN20356,14.98
DN20357,18.2
DN20358,15.19
DN20359,17.6
DN2036,10.18
DN20360,17.21
DN20365,16.57
DN2037,12.08
DN2038,16.71
DN2039,12.71
DN20390,13.71
DN20395,13.52
DN2040,12.37
DN20400,12.88
DN20405,12.32
DN2041,11.73
DN2042,10.89
DN20420,13.42
DN20425,12.69
DN2043,10.27
DN20430,12.24
DN2044,10.86
DN20440,13.66
DN20445,12.52
DN2045,11.76
DN20450,11.67
DN2046,12.81
DN20460,13.4
DN2047,14.97
DN20470,16.67
DN20475,17.92
DN2048,16.57
DN20480,17.82
DN20485,11.33
DN2049,20.02
DN205,3.05
DN2050,20.38
DN20500,9.84
DN20501,13.41
DN20502,14.93
DN20505,10.38
DN20506,14.12
DN20508,15.88
DN2051,20.49
DN20510,10.67
DN20511,19.64
DN20514,21.56
DN20515,21.32
DN20517,15.6
DN20518,11.3
DN2052,20.18
DN20520,9.46
DN2053,20.02
DN20531,10.17
DN2054,18.75
DN20540,9.05
DN20543,8.37
DN20545,8.17
DN2055,17.54
DN20550,7.48
DN20555,5.65
DN20556,1.57
DN20559,4.02
DN2056,15.94
DN20560,2.41
DN20565,1.13
DN20567,0.81
DN2057,14.3
DN20575,0.0
DN20576,3.15
DN20580,4.39
DN20583,5.06
DN20585,10.4
DN20588,9.57
DN20590,8.62
DN20593,10.98
DN20595,11.62
DN20596,13.06
DN20597,12.59
DN20598,12.15
DN20599,11.75
DN20600,11.37
DN206001,10.01
DN206002,9.11
DN20601,3.83
DN20602,13.64
DN20603,2.91
DN20604,1.19
DN20605,8.89
DN20610,7.59
DN20612,4.02
DN20614,11.03
DN20615,4.02
DN20619,12.08
DN20620,3.72
DN20621,3.2
DN20622,0.0
DN20625,11.87
DN20626,2.66
DN20630,11.75
DN20631,7.38
DN20670,9.8
DN20675,10.87
DN20676,11.24
DN20679,10.1
DN20680,9.75
DN20683,8.47
DN20684,8.18
DN20685,7.86
DN20687,6.43
DN20690,5.98
DN20691,10.47
DN20692,4.26
DN20694,12.11
DN20695,10.38
DN20698,13.8
DN20699,7.5
DN207,0.9
DN20700,7.01
DN20703,6.26
DN20705,5.56
DN20710,11.85
DN20715,3.63
DN20800,7.97
DN20805,7.48
DN210,0.55
DN2101,0.47
DN21016,13.71
DN21017,42.2
DN21018,44.33
DN21019,27.09
DN2102,0.41
DN2103,1.09
DN2104,1.01
DN2105,1.07
DN2205,0.05
DN2210,0.08
DN2215,0.08
DN2220,0.08
DN2225,0.04
DN2230,0.04
DN2235,0.06
DN2240,0.07
DN2267,0.04
DN2269,0.05
DN2270,0.06
DN2275,0.05
DN2280,0.04
DN2285,0.06
DN2289,0.08
DN2305,0.06
DN2310,0.43
DN231210,0.43
DN231420,0.83
DN231430,0.83
DN231440,1.04
DN2315,0.44
DN2320,0.0
